"LEVEL1","LEVEL2","CD","LEVEL1_NM","LEVEL2_NM","NM","NM2","COMMENTS","DEL_YN","REG_DATE","REG_USER","MOD_DATE","MOD_USER"
AN,"10","0",분석,IO구분,INPUT,INPUT,분석-IO구분-INPUT,N,"20180528134825",iip,,
AN,"10","1",분석,IO구분,OUTPUT,OUTPUT,분석-IO구분-OUTPUT,N,"20180528134825",iip,,
AN,"11","0",분석,데이터출력형식,xml,xml,분석-데이터출력형식-xml,N,"20180528134825",iip,,
AN,"11","1",분석,데이터출력형식,json,json,분석-데이터출력형식-json,N,"20180528134825",iip,,
AN,"11","2",분석,데이터출력형식,delimiter,delimiter,분석-데이터출력형식-delimiter,N,"20180528134825",iip,,
AN,"11","3",분석,데이터출력형식,fixedlength,fixedlength,분석-데이터출력형식-fixedlength,N,"20180528134825",iip,,
AN,"12","0",분석,배포상태,배포중,배포중,분석-배포상태-배포중,N,"20180528134825",iip,,
AN,"12","1",분석,배포상태,배포실패,배포실패,분석-배포상태-배포실패,N,"20180528134825",iip,,
AN,"12","2",분석,배포상태,배포성공,배포성공,분석-배포상태-배포성공,N,"20180528134825",iip,,
AN,"13",L,분석,정렬기준,왼쪽정렬,왼쪽,분석-정렬기준-왼쪽정렬,N,"20180528134825",iip,,
AN,"13",R,분석,정렬기준,오른쪽정렬,오른쪽,분석-정렬기준-오른쪽정렬,N,"20180528134825",iip,,
AN,"14","0",분석,인터페이스유형(현대해상),Routing,Routing,분석-인터페이스유형(현대해상)-Routing,N,"20180528134825",iip,,
AN,"14","1",분석,인터페이스유형(현대해상),Mapping,Mapping,분석-인터페이스유형(현대해상)-Mapping,N,"20180528134825",iip,,
AN,"14","2",분석,인터페이스유형(현대해상),FilePut,FilePut,분석-인터페이스유형(현대해상)-FilePut,N,"20180528134825",iip,,
AN,"14","3",분석,인터페이스유형(현대해상),FileGet,FileGet,분석-인터페이스유형(현대해상)-FileGet,N,"20180528134825",iip,,
CO,"01","0",공통,결재아이템유형,요건라이프사이클결재,요건라이프사이클결재,공통-결재아이템유형-요건라이프사이클결재,N,"20180528134825",iip,,
CO,"01","1",공통,결재아이템유형,장애대장처리결재,장애대장처리결재,공통-결재아이템유형-장애대장처리결재,N,"20180528134825",iip,,
IM,"01","0",개발,DATA처리흐름,단방향,단방향,개발-DATA처리흐름-단방향,N,"20180528134825",iip,,
IM,"01","1",개발,DATA처리흐름,양방향,양방향,개발-DATA처리흐름-양방향,N,"20180528134825",iip,,
IM,"02","0",개발,APP처리방식,동기,동기,개발-APP처리방식-동기,N,"20180528134825",iip,,
IM,"02","1",개발,APP처리방식,비동기,비동기,개발-APP처리방식-비동기,N,"20180528134825",iip,,
IM,"03","0",개발,발생주기,초,초,개발-발생주기-초,N,"20180528134825",iip,,
IM,"03","1",개발,발생주기,분,분,개발-발생주기-분,N,"20180528134825",iip,,
IM,"03","10",개발,발생주기,스케줄,스케줄,개발-발생주기-스케줄,N,"20180528134825",iip,,
IM,"03","2",개발,발생주기,시,시,개발-발생주기-시,N,"20180528134825",iip,,
IM,"03","3",개발,발생주기,일,일,개발-발생주기-일,N,"20180528134825",iip,,
IM,"03","4",개발,발생주기,월,월,개발-발생주기-월,N,"20180528134825",iip,,
IM,"03","5",개발,발생주기,년,년,개발-발생주기-년,N,"20180528134825",iip,,
IM,"03","9",개발,발생주기,수시,수시,개발-발생주기-수시,N,"20180528134825",iip,,
IM,"04","0",개발,리소스,DB,D,개발-리소스-DB,N,"20180528134825",iip,,
IM,"04","1",개발,리소스,FILE,F,개발-리소스-FILE,N,"20180528134825",iip,,
IM,"04","2",개발,리소스,RFC,R,개발-리소스-RFC,N,"20180528134825",iip,,
IM,"04","3",개발,리소스,Proxy,P,개발-리소스-Proxy,N,"20180528134825",iip,,
IM,"04","4",개발,리소스,WS,W,개발-리소스-WS,N,"20180528134825",iip,,
IM,"04","5",개발,리소스,APP,A,개발-리소스-APP,N,"20180528134825",iip,,
IM,"04","6",개발,리소스,HTTP,H,개발-리소스-HTTP,N,"20180528134825",iip,,
IM,"04","7",개발,리소스,TMAX,T,개발-리소스-TMAX,N,"20180528134825",iip,,
IM,"05","0",개발,지연임계시간단위,초,초,개발-지연임계시간단위-초,N,"20180528134825",iip,,
IM,"05","1",개발,지연임계시간단위,분,분,개발-지연임계시간단위-분,N,"20180528134825",iip,,
IM,"05","2",개발,지연임계시간단위,시,시,개발-지연임계시간단위-시,N,"20180528134825",iip,,
IM,"06","0",개발,장애임계시간단위,초,초,개발-장애임계시간단위-초,N,"20180528134825",iip,,
IM,"06","1",개발,장애임계시간단위,분,분,개발-장애임계시간단위-분,N,"20180528134825",iip,,
IM,"06","2",개발,장애임계시간단위,시,시,개발-장애임계시간단위-시,N,"20180528134825",iip,,
IM,"07","0",개발,중요도,상,상,개발-중요도-상,N,"20180528134825",iip,,
IM,"07","1",개발,중요도,중,중,개발-중요도-중,N,"20180528134825",iip,,
IM,"07","2",개발,중요도,하,하,개발-중요도-하,N,"20180528134825",iip,,
IM,"08","0",개발,노드유형,송신,송신,개발-노드유형-송신,N,"20180528134825",iip,,
IM,"08","1",개발,노드유형,HUB,HUB,개발-노드유형-HUB,N,"20180528134825",iip,,
IM,"08","2",개발,노드유형,수신,수신,개발-노드유형-수신,N,"20180528134825",iip,,
IM,"09","0",개발,인터페이스담당자유형,송신,송신,개발-인터페이스담당자유형-송신,N,"20180528134825",iip,,
IM,"09","1",개발,인터페이스담당자유형,연계,연계,개발-인터페이스담당자유형-연계,N,"20180528134825",iip,,
IM,"09","2",개발,인터페이스담당자유형,수신,수신,개발-인터페이스담당자유형-수신,N,"20180528134825",iip,,
IM,"10","0",개발,서버스테이지,개발,개발,개발-서버스테이지-개발,N,"20180528134825",iip,,
IM,"10","1",개발,서버스테이지,검증,검증,개발-서버스테이지-검증,N,"20180528134825",iip,,
IM,"10","2",개발,서버스테이지,운영,운영,개발-서버스테이지-운영,N,"20180528134825",iip,,
IM,"11","0",개발,인터페이스맵핑룰,없음,없음,개발-인터페이스맵핑룰-없음,N,"20180528134825",iip,,
IM,"11","1",개발,인터페이스맵핑룰,직접입력,직접입력,개발-인터페이스맵핑룰-직접입력,N,"20180528134825",iip,,
IM,"11","2",개발,인터페이스맵핑룰,맵핑,맵핑,개발-인터페이스맵핑룰-맵핑,N,"20180528134825",iip,,
IM,"12","0",개발,DATA처리방식,배치,배치,개발-DATA처리방식-배치,N,"20180528134825",iip,,
IM,"12","1",개발,DATA처리방식,온라인,온라인,개발-DATA처리방식-온라인,N,"20180528134825",iip,,
IM,"12","2",개발,DATA처리방식,요청,요청,개발-DATA처리방식-요청,Y,"20180528134825",iip,"20180702133548643",nh
IM,"12","3",개발,DATA처리방식,온라인조회,온라인조회,개발-DATA처리방식-온라인조회,Y,"20180528134825",iip,"20180702133545488",nh
IM,"12","4",개발,DATA처리방식,온라인전송,온라인전송,개발-DATA처리방식-온라인전송,Y,"20180528134825",iip,"20180702133541730",nh
IM,"13","0",개발,시스템역할,관리자,관리자,개발-시스템역할-관리자,N,"20180528134825",iip,,
IM,"13","1",개발,시스템역할,사용자,사용자,개발-시스템역할-사용자,N,"20180528134825",iip,,
IM,"14","0",개발,서버역할,H/W관리자,H/W관리자,개발-서버역할-H/W관리자,N,"20180528134825",iip,,
IM,"14","1",개발,서버역할,S/W관리자,S/W관리자,개발-서버역할-S/W관리자,N,"20180528134825",iip,,
IM,"15","0",개발,업무역할,담당자,담당자,개발-업무역할-담당자,N,"20180528134825",iip,,
IM,"16","0",개발,솔루션담당자역할,정,정,개발-솔루션담당자역할-정,N,"20180528134825",iip,,
IM,"16","1",개발,솔루션담당자역할,부,부,개발-솔루션담당자역할-부,N,"20180528134825",iip,,
IM,"17","0",개발,서버자원,CPU,CPU,개발-서버자원-CPU,N,"20180528134825",iip,,
IM,"17","1",개발,서버자원,MEMORY,MEMORY,개발-서버자원-MEMORY,N,"20180528134825",iip,,
IM,"17","2",개발,서버자원,DISK,DISK,개발-서버자원-DISK,N,"20180528134825",iip,,
IM,"18","0",개발,임계값단위,값,값,개발-임계값단위-값,N,"20180528134825",iip,,
IM,"18","1",개발,임계값단위,%,%,개발-임계값단위-%,N,"20180528134825",iip,,
IM,"19","0",개발,큐매니저상태,ON,ON,개발-큐매니저상태-ON,N,"20180528134825",iip,,
IM,"19","1",개발,큐매니저상태,OFF,OFF,개발-큐매니저상태-OFF,N,"20180528134825",iip,,
IM,"20","1",개발,채널상태,OFF,OFF,개발-채널상태-OFF,N,"20180528134825",iip,,
IM,"21",N,개발,MI에이전트상태,OFF,OFF,개발-MI에이전트상태-OFF,N,"20180528134825",iip,,
IM,"21",Y,개발,MI에이전트상태,ON,ON,개발-MI에이전트상태-ON,N,"20180528134825",iip,,
IM,"22",N,개발,MI러너상태,OFF,OFF,개발-MI러너상태-OFF,N,"20180528134825",iip,,
IM,"22",Y,개발,MI러너상태,ON,ON,개발-MI러너상태-ON,N,"20180528134825",iip,,
IM,"23","0",개발,IIP에이전트상태,정상,정상,개발-IIP에이전트상태-정상,N,"20180528134825",iip,,
IM,"23","1",개발,IIP에이전트상태,OFF,OFF,개발-IIP에이전트상태-OFF,N,"20180528134825",iip,,
IM,"23","9",개발,IIP에이전트상태,PROBLEM,PROBLEM,개발-IIP에이전트상태-PROBLEM,N,"20180528134825",iip,,
IM,"24","0",개발,IIP모니터링아이템유형,서버자원,서버자원,개발-IIP모니터링아이템유형-서버자원,N,"20180528134825",iip,,
IM,"24","1",개발,IIP모니터링아이템유형,프로세스,프로세스,개발-IIP모니터링아이템유형-프로세스,N,"20180528134825",iip,,
IM,"24","2",개발,IIP모니터링아이템유형,큐매니저,큐매니저,개발-IIP모니터링아이템유형-큐매니저,N,"20180528134825",iip,,
IM,"24","3",개발,IIP모니터링아이템유형,채널,채널,개발-IIP모니터링아이템유형-채널,N,"20180528134825",iip,,
IM,"24","4",개발,IIP모니터링아이템유형,큐,큐,개발-IIP모니터링아이템유형-큐,N,"20180528134825",iip,,
IM,"25","0",개발,IIP모니터링로그레벨,DEBUG,DEBUG,개발-IIP모니터링로그레벨-DEBUG,N,"20180528134825",iip,,
IM,"25","1",개발,IIP모니터링로그레벨,INFO,INFO,개발-IIP모니터링로그레벨-INFO,N,"20180528134825",iip,,
IM,"25","2",개발,IIP모니터링로그레벨,ERROR,ERROR,개발-IIP모니터링로그레벨-ERROR,N,"20180528134825",iip,,
IM,"25","3",개발,IIP모니터링로그레벨,FATAL,FATAL,개발-IIP모니터링로그레벨-FATAL,N,"20180528134825",iip,,
IM,"27","0",개발,처리상태(대시보드로그),등록,등록,개발-처리상태(대시보드로그)-등록,N,"20180528134825",iip,,
IM,"20","0",개발,채널상태,ON,ON,개발-채널상태-ON,N,"20180528134825",iip,,
IM,"27","1",개발,처리상태(대시보드로그),정상,정상,개발-처리상태(대시보드로그)-정상,N,"20180528134825",iip,,
IM,"27","9",개발,처리상태(대시보드로그),비정상,비정상,개발-처리상태(대시보드로그)-비정상,N,"20180528134825",iip,,
IM,"28","0",개발,큐유형,로컬큐,로컬큐,개발-큐유형-로컬큐,N,"20180528134825",iip,,
IM,"28","1",개발,큐유형,리모트큐,리모트큐,개발-큐유형-리모트큐,N,"20180528134825",iip,,
IM,"28","2",개발,큐유형,전송큐,전송큐,개발-큐유형-전송큐,N,"20180528134825",iip,,
IM,"28","3",개발,큐유형,이벤트큐,이벤트큐,개발-큐유형-이벤트큐,N,"20180528134825",iip,,
IM,"28","4",개발,큐유형,클러스터큐,클러스터큐,개발-큐유형-클러스터큐,N,"20180528134825",iip,,
IM,"29","0",개발,채널유형,전송채널(ILINK),전송채널(ILINK),개발-채널유형-전송채널(ILINK),Y,"20180528134825",iip,,
IM,"29","1",개발,채널유형,수신채널(ILINK),수신채널(ILINK),개발-채널유형-수신채널(ILINK),Y,"20180528134825",iip,,
IM,"29","3",개발,채널유형,송신채널(MQ),송신채널(MQ),개발-채널유형-송신채널(MQ),N,"20180528134825",iip,,
IM,"29","4",개발,채널유형,수신채널(MQ),수신채널(MQ),개발-채널유형-수신채널(MQ),N,"20180528134825",iip,,
IM,"30","0",개발,큐관리자유형,ILINK,ILINK,개발-큐관리자유형-ILINK,Y,"20180528134825",iip,,
IM,"30","1",개발,큐관리자유형,MQ,MQ,개발-큐관리자유형-MQ,N,"20180528134825",iip,,
OP,"01","00",운영,트레킹처리상태,정상,정상,운영-트레킹처리상태-정상,N,"20180528134825",iip,,
OP,"01","01",운영,트레킹처리상태,처리중,처리중,운영-트레킹처리상태-처리중,N,"20180528134825",iip,,
OP,"01","99",운영,트레킹처리상태,오류,오류,운영-트레킹처리상태-오류,N,"20180528134825",iip,,
OP,"02","0",운영,장애처리상태,장애,장애,운영-장애처리상태-장애,N,"20180528134825",iip,,
OP,"02","1",운영,장애처리상태,조치중,조치중,운영-장애처리상태-조치중,N,"20180528134825",iip,,
OP,"02","2",운영,장애처리상태,조치완료,조치완료,운영-장애처리상태-조치완료,N,"20180528134825",iip,,
OP,"03","0",운영,중요도,상,상,운영-중요도-상,N,"20180528134825",iip,,
OP,"03","1",운영,중요도,중,중,운영-중요도-중,N,"20180528134825",iip,,
OP,"03","2",운영,중요도,하,하,운영-중요도-하,N,"20180528134825",iip,,
OP,"04","0",운영,장애대장-유형,오류,오류,운영-장애대장-유형-오류,N,"20180528134825",iip,,
OP,"04","1",운영,장애대장-유형,장애,장애,운영-장애대장-유형-장애,N,"20180528134825",iip,,
OP,"05","0",운영,장애대장-보고상태,결재요청,결재요청,운영-장애대장-보고상태-결재요청,N,"20180528134825",iip,,
OP,"05","1",운영,장애대장-보고상태,결재완료,결재완료,운영-장애대장-보고상태-결재완료,N,"20180528134825",iip,,
OP,"05","2",운영,장애대장-보고상태,결재반려,결재반려,운영-장애대장-보고상태-결재반려,N,"20180528134825",iip,,
OP,"06","0",운영,관심인터페이스유형,관심인터페이스,관심인터페이스,운영-관심인터페이스유형-관심인터페이스,N,"20180528134825",iip,,
OP,"06","1",운영,관심인터페이스유형,주요배치인터페이스,주요배치인터페이스,운영-관심인터페이스유형-주요배치인터페이스,N,"20180528134825",iip,,
SU,"01","0",지원,공지FAQ카테고리-유형,공지,공지,지원-공지FAQ카테고리-유형-공지,N,"20180528134825",iip,,
SU,"01","1",지원,공지FAQ카테고리-유형,FAQ,FAQ,지원-공지FAQ카테고리-유형-FAQ,N,"20180528134825",iip,,
SU,"02","0",지원,사용자그룹유형,심의자그룹,심의자그룹,지원-사용자그룹유형-심의자그룹,N,"20180528134825",iip,,
SU,"02","1",지원,사용자그룹유형,결재자그룹,결재자그룹,지원-사용자그룹유형-결재자그룹,N,"20180528134825",iip,,
SU,"03","0",지원,이메일유형,인터페이스에러메일,인터페이스에러메일,지원-이메일유형-인터페이스에러메일,N,"20180528134825",iip,,
SU,"03","1",지원,이메일유형,리소스모니터메일,리소스모니터메일,지원-이메일유형-리소스모니터메일,N,"20180528134825",iip,,
SU,"03","2",지원,이메일유형,EAI엔진모니터메일,EAI엔진모니터메일,지원-이메일유형-EAI엔진모니터메일,N,"20180528134825",iip,,
SU,"03","9",지원,이메일유형,일반메일,일반메일,지원-이메일유형-일반메일,N,"20180528134825",iip,,
SU,"04","0",지원,이메일수신자유형,인터페이스에러수신자,인터페이스에러수신자,지원-이메일수신자유형-인터페이스에러수신자,N,"20180528134825",iip,,
SU,"04","1",지원,이메일수신자유형,리소스모니터수신자,리소스모니터수신자,지원-이메일수신자유형-리소스모니터수신자,N,"20180528134825",iip,,
SU,"04","2",지원,이메일수신자유형,EAI엔진모니터수신자,EAI엔진모니터수신자,지원-이메일수신자유형-EAI엔진모니터수신자,N,"20180528134825",iip,,
SU,"04","9",지원,이메일수신자유형,모든 수신자,모든 수신자,지원-이메일수신자유형-모든 수신자,N,"20180528134825",iip,,
SU,"05","0",지원,이메일형식,TEXT,TEXT,지원-이메일형식-TEXT,N,"20180528134825",iip,,
SU,"05","1",지원,이메일형식,HTML,HTML,지원-이메일형식-HTML,N,"20180528134825",iip,,
IM,"12","5",개발,DATA처리방식,전계좌,전계좌,개발-DATA처리방식-전체계좌,N,"2018070213250757",nh,,
IM,"04","8",개발,리소스,JAVA,JAVA,개발-리소스-API,N,"2018070909520799",nh,"20180927135752110",nh
IM,"32","0",개발,인터페이스테스트CALL상태,진행중,진행중,개발-인터페이스테스트CALL상태-진행중,N,"20180802151306",iip,,
IM,"32","1",개발,인터페이스테스트CALL상태,성공,성공,개발-인터페이스테스트CALL상태-성공,N,"20180802151307",iip,,
IM,"32","9",개발,인터페이스테스트CALL상태,실패,실패,개발-인터페이스테스트CALL상태-실패,N,"20180802151307",iip,,
SU,"06","0",지원,SMS유형,인터페이스에러SMS,인터페이스에러SMS,지원-SMS유형-인터페이스에러SMS,N,"20180528134825",iip,,
SU,"06","1",지원,SMS유형,리소스모니터,리소스모니터,지원-SMS유형-리소스모니터,N,"20180528134825",iip,,
SU,"06","2",지원,SMS유형,MI에이전트,MI에이전트,지원-SMS유형-MI에이전트,N,"20180528134825",iip,,
SU,"06","3",지원,SMS유형,MIRunner,MIRunner,지원-SMS유형-MIRunner,N,"20180528134825",iip,,
SU,"06","4",지원,SMS유형,프로세스 모니터,프로세스 모니터,지원-SMS유형-프로세스 모니터,N,"20180528134825",iip,,
SU,"06","5",지원,SMS유형,큐매니저 모니터,큐매니저 모니터,지원-SMS유형-큐매니저 모니터,N,"20180528134825",iip,,
SU,"06","6",지원,SMS유형,채널모니터,채널모니터,지원-SMS유형-채널모니터,N,"20180528134825",iip,,
SU,"06","7",지원,SMS유형,큐모니터,큐모니터,지원-SMS유형-큐모니터,N,"20180528134825",iip,,
SU,"06","8",지원,SMS유형,IIP에이전트,IIP에이전트,지원-SMS유형-IIP에이전트,N,"20180528134825",iip,,
SU,"06","9",지원,SMS유형,키타,키타,지원-SMS유형-키타,N,"20180528134825",iip,,
IM,"33","0",개발,Config파일비교결과,등록,등록,등록,N,"20180920152914",iip,"20180920152914",iip
IM,"33","1",개발,Config파일비교결과,동일,동일,동일,N,"20180920152914",iip,"20180920152914",iip
IM,"33","9",개발,Config파일비교결과,다름,다름,다름,N,"20180920152914",iip,"20180920152914",iip
IM,"04","9",개발,리소스,API,API,개발-리소스- C API,N,"2018092015324940",nh,"20180927135737530",nh
SU,"34","1",지원,대시보드타입,default,default,지원-대시보드타입-default,N,"20181123152029",iip,"20181123152029",iip
SU,"34","2",지원,대시보드타입,시스템별,시스템별,지원-대시보드타입-시스템별,N,"20181123152031",iip,"20181123152031",iip
SU,"34","3",지원,대시보드타입,집계/통계,집계/통계,지원-대시보드타입-집계/통계,N,"20181123152032",iip,"20181123152032",iip
SU,"34","4",지원,대시보드타입,실시간처리,실시간처리,지원-대시보드타입-실시간처리,N,"20181123152033",iip,"20181123152033",iip
SU,"09","0",지원,패치처리결과,등록,등록,패치처리결과코드,N,"20190610155529",iip,,
SU,"09","1",지원,패치처리결과,완료,완료,패치처리결과코드,N,"20190610155529",iip,,
SU,"09","9",지원,패치처리결과,실패,실패,패치처리결과코드,N,"20190610155529",iip,,
AN,"08","0",분석,암호화유형,암호화없음,,분석-암호화유형-암호화없음,N,"20190422143000",iip,,
AN,"01",A0,분석,요건상태,신청,신청,분석-요건상태-신청,N,"20180528134825",iip,,
AN,"01",A1,분석,요건상태,등록,등록,분석-요건상태-등록,N,"20180528134825",iip,,
AN,"01",B0,분석,요건상태,접수요청,접수요청,분석-요건상태-접수요청,N,"20180528134825",iip,,
AN,"01",B1,분석,요건상태,접수요청(등록),접수요청(등록),분석-요건상태-접수요청(등록),N,"20180528134825",iip,,
AN,"01",B2,분석,요건상태,접수요청(수정),접수요청(수정),분석-요건상태-접수요청(수정),N,"20180528134825",iip,,
AN,"01",B3,분석,요건상태,접수요청(폐기),접수요청(폐기),분석-요건상태-접수요청(폐기),N,"20180528134825",iip,,
AN,"01",B4,분석,요건상태,접수요청(이행),접수요청(이행),분석-요건상태-접수요청(이행),N,"20180528134825",iip,,
AN,"01",E0,분석,요건상태,접수반려,접수반려,분석-요건상태-접수반려,N,"20180528134825",iip,,
AN,"01",E1,분석,요건상태,접수반려(등록),접수반려(등록),분석-요건상태-접수반려(등록),N,"20180528134825",iip,,
AN,"01",E2,분석,요건상태,접수반려(수정),접수반려(수정),분석-요건상태-접수반려(수정),N,"20180528134825",iip,,
AN,"01",E3,분석,요건상태,접수반려(폐기),접수반려(폐기),분석-요건상태-접수반려(폐기),N,"20180528134825",iip,,
AN,"01",E4,분석,요건상태,접수반려(이행),접수반려(이행),분석-요건상태-접수반려(이행),N,"20180528134825",iip,,
AN,"01",F0,분석,요건상태,접수완료,접수완료,분석-요건상태-접수완료,N,"20180528134825",iip,,
AN,"01",F1,분석,요건상태,접수완료(등록),접수완료(등록),분석-요건상태-접수완료(등록),N,"20180528134825",iip,,
AN,"01",F2,분석,요건상태,접수완료(수정),접수완료(수정),분석-요건상태-접수완료(수정),N,"20180528134825",iip,,
AN,"01",F3,분석,요건상태,접수완료(폐기),접수완료(폐기),분석-요건상태-접수완료(폐기),N,"20180528134825",iip,,
AN,"01",F4,분석,요건상태,접수완료(이행),접수완료(이행),분석-요건상태-접수완료(이행),N,"20180528134825",iip,,
AN,"01",G0,분석,요건상태,개발완료,개발완료,분석-요건상태-개발완료,N,"20180528134825",iip,,
AN,"01",H0,분석,요건상태,테스트완료,테스트완료,분석-요건상태-테스트완료,N,"20180528134825",iip,,
AN,"01",I0,분석,요건상태,이행완료,이행완료,분석-요건상태-이행완료,N,"20180528134825",iip,,
AN,"01",Y0,분석,요건상태,취소,취소,분석-요건상태-취소,N,"20180528134825",iip,,
AN,"01",Y1,분석,요건상태,취소(등록),취소(등록),분석-요건상태-취소(등록),N,"20180528134825",iip,,
AN,"01",Y2,분석,요건상태,취소(수정),취소(수정),분석-요건상태-취소(수정),N,"20180528134825",iip,,
AN,"01",Y3,분석,요건상태,취소(폐기),취소(폐기),분석-요건상태-취소(폐기),N,"20180528134825",iip,,
AN,"01",Y4,분석,요건상태,취소(이행),취소(이행),분석-요건상태-취소(이행),N,"20180528134825",iip,,
AN,"01",Z0,분석,요건상태,임시저장,임시저장,분석-요건상태-임시저장,N,"20180528134825",iip,,
AN,"02","0",분석,중요도,하,하,분석-중요도-하,N,"20180528134825",iip,,
AN,"02","1",분석,중요도,중,중,분석-중요도-중,N,"20180528134825",iip,,
AN,"02","2",분석,중요도,상,상,분석-중요도-상,N,"20180528134825",iip,,
AN,"03","0",분석,지연임계단위,초,초,분석-지연임계단위-초,N,"20180528134825",iip,,
AN,"03","1",분석,지연임계단위,분,분,분석-지연임계단위-분,N,"20180528134825",iip,,
AN,"03","2",분석,지연임계단위,시,시,분석-지연임계단위-시,N,"20180528134825",iip,,
AN,"03","3",분석,지연임계단위,일,일,분석-지연임계단위-일,N,"20180528134825",iip,,
AN,"04","0",분석,장애임계단위,초,초,분석-장애임계단위-초,N,"20180528134825",iip,,
AN,"04","1",분석,장애임계단위,분,분,분석-장애임계단위-분,N,"20180528134825",iip,,
AN,"04","2",분석,장애임계단위,시,시,분석-장애임계단위-시,N,"20180528134825",iip,,
AN,"04","3",분석,장애임계단위,일,일,분석-장애임계단위-일,N,"20180528134825",iip,,
AN,"05","0",분석,결재자유형,기안자,기안자,분석-결재자유형-기안자,N,"20180528134825",iip,,
AN,"05","1",분석,결재자유형,결재자,결재자,분석-결재자유형-결재자,N,"20180528134825",iip,,
AN,"05","2",분석,결재자유형,합의자,합의자,분석-결재자유형-합의자,N,"20180528134825",iip,,
AN,"05","3",분석,결재자유형,심의자,심의자,분석-결재자유형-심의자,N,"20180528134825",iip,,
AN,"05","4",분석,결재자유형,검수자,검수자,분석-결재자유형-검수자,N,"20180528134825",iip,,
AN,"05","9",분석,결재자유형,통보,통보,분석-결재자유형-통보,N,"20180528134825",iip,,
AN,"06","00",분석,채널변경사유코드,개발불가능(거래패턴없음),개발불가능(거래패턴없음),분석-채널변경사유코드-개발불가능(거래패턴없음),N,"20180528134825",iip,,
AN,"06","01",분석,채널변경사유코드,데이터처리용량초과,데이터처리용량초과,분석-채널변경사유코드-데이터처리용량초과,N,"20180528134825",iip,,
AN,"06","99",분석,채널변경사유코드,직접입력,직접입력,분석-채널변경사유코드-직접입력,N,"20180528134825",iip,,
AN,"07","0",분석,데이터형식(Format),xml,xml,분석-데이터형식(Format)-xml,N,"20180528134825",iip,,
AN,"07","1",분석,데이터형식(Format),json,json,분석-데이터형식(Format)-json,N,"20180528134825",iip,,
AN,"07","2",분석,데이터형식(Format),delimiter,delimiter,분석-데이터형식(Format)-delimiter,N,"20180528134825",iip,,
AN,"07","3",분석,데이터형식(Format),fixedlength,fixedlength,분석-데이터형식(Format)-fixedlength,N,"20180528134825",iip,,
AN,"07","4",분석,데이터형식(Format),derecord,derecord,분석-데이터형식(Format)-derecord,N,"20180528134825",iip,,
AN,"07","9",분석,데이터형식(Format),etc,etc,분석-데이터형식(Format)-etc,N,"20180528134825",iip,,
AN,"08","1",분석,암호화유형,AES,AES,분석-암호화유형-AES,N,"20180528134825",iip,,
AN,"08","2",분석,암호화유형,ARIA,ARIA,분석-암호화유형-ARIA,N,"20180528134825",iip,,
AN,"08","3",분석,암호화유형,SEED,SEED,분석-암호화유형-SEED,N,"20180528134825",iip,,
AN,"08","4",분석,암호화유형,RSA,RSA,분석-암호화유형-RSA,N,"20180528134825",iip,,
AN,"08","5",분석,암호화유형,MD5,MD5,분석-암호화유형-MD5,N,"20180528134825",iip,,
AN,"09","0",분석,데이터필드유형,string,문자,분석-데이터필드유형-string,N,"20180528134825",iip,,
AN,"09","1",분석,데이터필드유형,number,숫자,분석-데이터필드유형-number,N,"20180528134825",iip,,
AN,"09","2",분석,데이터필드유형,boolean,진리값,분석-데이터필드유형-boolean,N,"20180528134825",iip,,
AN,"09","3",분석,데이터필드유형,binary,이진데이터,분석-데이터필드유형-binary,N,"20180528134825",iip,,
AN,"09","4",분석,데이터필드유형,complex,복합유형,분석-데이터필드유형-complex,N,"20180528134825",iip,,
